Especie;IFL
Crypturellus tataupa;0,02
Amazonetta brasiliensis;0,07
Patagioenas picazuro;0,22
Leptotila verreauxi;0,10
Zenaida auriculata;0,07
Columbina talpacoti;0,51
Guira guira;0,05
Crotophaga ani;0,02
Piaya cayana;0,07
Nyctibius griseus;0,02
Nyctidromus albicollis;0,10
Hydropsalis torquata;0,07
Chaetura meridionalis;0,05
Laterallus exilis;0,02
Pardirallus nigricans;0,02
Aramides saracura;0,02
Gallinula galeata;0,07
Vanellus chilensis;0,37
Nannopterum brasilianum;0,02
Bubulcus ibis;0,12
Syrigma sibilatrix;0,02
Egretta thula;0,02
Plegadis chihi;0,07
Phimosus infuscatus;0,20
Coragyps atratus;0,29
Cathartes aura;0,10
Heterospizias meridionalis;0,05
Rupornis magnirostris;0,15
Bubo virginianus;0,05
Athene cunicularia;0,02
Picumnus temminckii;0,10
Veniliornis spilogaster;0,02
Colaptes campestris;0,05
Caracara plancus;0,20
Milvago chimachima;0,02
Falco sparverius;0,02
Falco femoralis;0,05
Myiopsitta monachus;0,02
Brotogeris tirica;0,02
Pionus maximiliani;0,10
Forpus xanthopterygius;0,02
Thamnophilus caerulescens;0,15
Pyriglena leucoptera;0,12
Conopophaga lineata;0,02
Eleoscytalopus indigoticus;0,20
Xiphorhynchus fuscus;0,05
Furnarius rufus;0,12
Philydor atricapillus;0,02
Synallaxis ruficapilla;0,10
Synallaxis spixi;0,20
Manacus manacus;0,12
Phylloscartes kronei;0,02
Todirostrum poliocephalum;0,10
Hemitriccus kaempferi;0,02
Camptostoma obsoletum;0,07
Elaenia flavogaster;0,17
Serpophaga subcristata;0,02
Pitangus sulphuratus;0,22
Megarynchus pitangua;0,02
Myiozetetes similis;0,05
Tyrannus melancholicus;0,39
Myiophobus fasciatus;0,12
Hylophilus poicilotis;0,05
Vireo chivi;0,02
Cyanocorax caeruleus;0,12
Pygochelidon cyanoleuca;0,20
Progne tapera;0,20
Progne chalybea;0,10
Troglodytes musculus;0,10
Cantorchilus longirostris;0,10
Turdus rufiventris;0,02
Turdus amaurochalinus;0,02
Turdus albicollis;0,02
Mimus saturninus;0,10
Estrilda astrild*;0,02
Passer domesticus*;0,10
Anthus chii;0,02
Spinus magellanicus;0,05
Euphonia violacea;0,02
Zonotrichia capensis;0,34
Leistes superciliaris;0,15
Molothrus bonariensis;0,02
Agelaioides badius;0,07
Geothlypis aequinoctialis;0,29
Setophaga pitiayumi;0,10
Basileuterus culicivorus;0,20
Dacnis cayana;0,12
Coereba flaveola;0,15
Volatinia jacarina;0,24
Tachyphonus coronatus;0,22
Ramphocelus bresilia;0,10
Sporophila caerulescens;0,27
Sicalis flaveola;0,32
Thraupis sayaca;0,02
Tangara seledon;0,07
Tangara cyanocephala;0,07
