Especies;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41
Crypturellus tataupa;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amazonetta brasiliensis;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;
Patagioenas picazuro;;;1;;1;1;;;;;;;;;;;;;;1;;;;;1;;;;;1;;1;1;;;;1;;;;
Leptotila verreauxi;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;1;
Zenaida auriculata;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;
Columbina talpacoti;1;;;1;1;;1;;;1;1;;1;;1;1;;1;;;;;;1;;1;;1;1;1;;1;1;;1;;;1;1;;1
Guira guira;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crotophaga ani;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
Piaya cayana;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nyctibius griseus;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nyctidromus albicollis;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;;;;;;
Hydropsalis torquata;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;
Chaetura meridionalis;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
Laterallus exilis;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
Pardirallus nigricans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aramides saracura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
Gallinula galeata;;;;;;;;;1;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;
Vanellus chilensis;1;1;1;;;1;;1;;1;1;;;;;;1;1;1;;1;;;;;;1;;;1;;;1;;1;;;;;;
